epoch,latitude,longitude,altitude_m
0.0,47.450000,-122.310000,200.0
8.0,47.509903,-122.420720,372.1
16.0,47.569804,-122.531440,542.8
24.0,47.629698,-122.642160,712.2
32.0,47.689582,-122.752880,880.1
40.0,47.749454,-122.863600,1,046.7
48.0,47.809310,-122.974320,1,211.9
56.0,47.869147,-123.085040,1,375.7
64.0,47.928962,-123.195760,1,538.2
72.0,47.988752,-123.306480,1,699.2
80.0,48.048513,-123.417200,1,858.9
88.0,48.108243,-123.527920,2,017.2
96.0,48.167939,-123.638640,2,174.1
104.0,48.227597,-123.749360,2,329.6
112.0,48.287215,-123.860080,2,483.7
120.0,48.346789,-123.970800,2,636.5
128.0,48.406317,-124.081520,2,787.9
136.0,48.465796,-124.192240,2,937.8
144.0,48.525222,-124.302960,3,086.5
152.0,48.584593,-124.413680,3,233.7
160.0,48.643906,-124.524400,3,379.5
168.0,48.703158,-124.635120,3,524.0
176.0,48.762347,-124.745840,3,667.1
184.0,48.821470,-124.856560,3,808.8
192.0,48.880523,-124.967280,3,949.1
200.0,48.939506,-125.078000,4,088.0
208.0,48.998413,-125.188720,4,225.5
216.0,49.057245,-125.299440,4,361.7
224.0,49.115997,-125.410160,4,496.5
232.0,49.174667,-125.520880,4,629.9
240.0,49.233254,-125.631600,4,761.9
248.0,49.291754,-125.742320,4,892.6
256.0,49.350165,-125.853040,5,021.8
264.0,49.408486,-125.963760,5,149.7
272.0,49.466713,-126.074480,5,276.2
280.0,49.524846,-126.185200,5,401.3
288.0,49.582881,-126.295920,5,525.0
296.0,49.640817,-126.406640,5,647.3
304.0,49.698652,-126.517360,5,768.3
312.0,49.756384,-126.628080,5,887.9
320.0,49.814011,-126.738800,6,006.1
328.0,49.871532,-126.849520,6,122.9
336.0,49.928944,-126.960240,6,238.3
344.0,49.986247,-127.070960,6,352.4
352.0,50.043438,-127.181680,6,465.0
360.0,50.100517,-127.292400,6,576.3
368.0,50.157481,-127.403120,6,686.2
376.0,50.214330,-127.513840,6,794.7
384.0,50.271062,-127.624560,6,901.9
392.0,50.327677,-127.735280,7,007.6
400.0,50.384172,-127.846000,7,112.0
408.0,50.440547,-127.956720,7,215.0
416.0,50.496802,-128.067440,7,316.6
424.0,50.552934,-128.178160,7,416.8
432.0,50.608944,-128.288880,7,515.7
440.0,50.664831,-128.399600,7,613.1
448.0,50.720594,-128.510320,7,709.2
456.0,50.776232,-128.621040,7,803.9
464.0,50.831746,-128.731760,7,897.2
472.0,50.887133,-128.842480,7,989.1
480.0,50.942396,-128.953200,8,079.7
488.0,50.997532,-129.063920,8,168.8
496.0,51.052542,-129.174640,8,256.6
504.0,51.107426,-129.285360,8,343.0
512.0,51.162184,-129.396080,8,428.0
520.0,51.216816,-129.506800,8,511.7
528.0,51.271321,-129.617520,8,593.9
536.0,51.325701,-129.728240,8,674.8
544.0,51.379956,-129.838960,8,754.3
552.0,51.434086,-129.949680,8,832.4
560.0,51.488091,-130.060400,8,909.1
568.0,51.541972,-130.171120,8,984.5
576.0,51.595730,-130.281840,9,058.4
584.0,51.649365,-130.392560,9,131.0
592.0,51.702878,-130.503280,9,202.2
600.0,51.756270,-130.614000,9,272.0
608.0,51.809542,-130.724720,9,340.4
616.0,51.862696,-130.835440,9,407.5
624.0,51.915731,-130.946160,9,473.1
632.0,51.968649,-131.056880,9,537.4
640.0,52.021452,-131.167600,9,600.3
648.0,52.074141,-131.278320,9,661.8
656.0,52.126717,-131.389040,9,722.0
664.0,52.179181,-131.499760,9,780.7
672.0,52.231535,-131.610480,9,838.1
680.0,52.283782,-131.721200,9,894.1
688.0,52.335921,-131.831920,9,948.7
696.0,52.387956,-131.942640,10,001.9
704.0,52.439887,-132.053360,10,053.7
712.0,52.491718,-132.164080,10,104.2
720.0,52.543449,-132.274800,10,153.3
728.0,52.595082,-132.385520,10,201.0
736.0,52.646621,-132.496240,10,247.3
744.0,52.698066,-132.606960,10,292.2
752.0,52.749420,-132.717680,10,335.8
760.0,52.800686,-132.828400,10,377.9
768.0,52.851865,-132.939120,10,418.7
776.0,52.902960,-133.049840,10,458.1
784.0,52.953973,-133.160560,10,496.1
792.0,53.004906,-133.271280,10,532.7
800.0,53.055763,-133.382000,10,568.0
808.0,53.106546,-133.492720,10,601.9
816.0,53.157256,-133.603440,10,634.4
824.0,53.207898,-133.714160,10,665.5
832.0,53.258474,-133.824880,10,695.2
840.0,53.308985,-133.935600,10,723.5
848.0,53.359436,-134.046320,10,750.5
856.0,53.409828,-134.157040,10,776.1
864.0,53.460166,-134.267760,10,800.2
872.0,53.510450,-134.378480,10,823.1
880.0,53.560685,-134.489200,10,844.5
888.0,53.610874,-134.599920,10,864.5
896.0,53.661019,-134.710640,10,883.2
904.0,53.711123,-134.821360,10,900.5
912.0,53.761190,-134.932080,10,916.4
920.0,53.811222,-135.042800,10,930.9
928.0,53.861222,-135.153520,10,944.0
936.0,53.911194,-135.264240,10,955.8
944.0,53.961141,-135.374960,10,966.1
952.0,54.011065,-135.485680,10,975.1
960.0,54.060970,-135.596400,10,982.7
968.0,54.110859,-135.707120,10,988.9
976.0,54.160735,-135.817840,10,993.8
984.0,54.210602,-135.928560,10,997.2
992.0,54.260462,-136.039280,10,999.3
1,000.0,54.310319,-136.150000,11,000.0
1,008.0,54.360175,-136.260720,10,999.3
1,016.0,54.410034,-136.371440,10,997.2
1,024.0,54.459900,-136.482160,10,993.8
1,032.0,54.509775,-136.592880,10,988.9
1,040.0,54.559662,-136.703600,10,982.7
1,048.0,54.609565,-136.814320,10,975.1
1,056.0,54.659487,-136.925040,10,966.1
1,064.0,54.709430,-137.035760,10,955.8
1,072.0,54.759399,-137.146480,10,944.0
1,080.0,54.809395,-137.257200,10,930.9
1,088.0,54.859423,-137.367920,10,916.4
1,096.0,54.909485,-137.478640,10,900.5
1,104.0,54.959584,-137.589360,10,883.2
1,112.0,55.009724,-137.700080,10,864.5
1,120.0,55.059907,-137.810800,10,844.5
1,128.0,55.110136,-137.921520,10,823.1
1,136.0,55.160414,-138.032240,10,800.2
1,144.0,55.210745,-138.142960,10,776.1
1,152.0,55.261130,-138.253680,10,750.5
1,160.0,55.311573,-138.364400,10,723.5
1,168.0,55.362077,-138.475120,10,695.2
1,176.0,55.412644,-138.585840,10,665.5
1,184.0,55.463277,-138.696560,10,634.4
1,192.0,55.513979,-138.807280,10,601.9
1,200.0,55.564752,-138.918000,10,568.0
1,208.0,55.615600,-139.028720,10,532.7
1,216.0,55.666523,-139.139440,10,496.1
1,224.0,55.717526,-139.250160,10,458.1
1,232.0,55.768611,-139.360880,10,418.7
1,240.0,55.819779,-139.471600,10,377.9
1,248.0,55.871033,-139.582320,10,335.8
1,256.0,55.922376,-139.693040,10,292.2
1,264.0,55.973810,-139.803760,10,247.3
1,272.0,56.025336,-139.914480,10,201.0
1,280.0,56.076958,-140.025200,10,153.3
1,288.0,56.128676,-140.135920,10,104.2
1,296.0,56.180494,-140.246640,10,053.7
1,304.0,56.232412,-140.357360,10,001.9
1,312.0,56.284434,-140.468080,9,948.7
1,320.0,56.336560,-140.578800,9,894.1
1,328.0,56.388793,-140.689520,9,838.1
1,336.0,56.441133,-140.800240,9,780.7
1,344.0,56.493584,-140.910960,9,722.0
1,352.0,56.546145,-141.021680,9,661.8
1,360.0,56.598819,-141.132400,9,600.3
1,368.0,56.651608,-141.243120,9,537.4
1,376.0,56.704511,-141.353840,9,473.1
1,384.0,56.757532,-141.464560,9,407.5
1,392.0,56.810670,-141.575280,9,340.4
1,400.0,56.863927,-141.686000,9,272.0
1,408.0,56.917304,-141.796720,9,202.2
1,416.0,56.970802,-141.907440,9,131.0
1,424.0,57.024421,-142.018160,9,058.4
1,432.0,57.078164,-142.128880,8,984.5
1,440.0,57.132029,-142.239600,8,909.1
1,448.0,57.186018,-142.350320,8,832.4
1,456.0,57.240132,-142.461040,8,754.3
1,464.0,57.294371,-142.571760,8,674.8
1,472.0,57.348735,-142.682480,8,593.9
1,480.0,57.403225,-142.793200,8,511.7
1,488.0,57.457841,-142.903920,8,428.0
1,496.0,57.512582,-143.014640,8,343.0
1,504.0,57.567450,-143.125360,8,256.6
1,512.0,57.622445,-143.236080,8,168.8
1,520.0,57.677565,-143.346800,8,079.7
1,528.0,57.732811,-143.457520,7,989.1
1,536.0,57.788183,-143.568240,7,897.2
1,544.0,57.843681,-143.678960,7,803.9
1,552.0,57.899303,-143.789680,7,709.2
1,560.0,57.955050,-143.900400,7,613.1
1,568.0,58.010921,-144.011120,7,515.7
1,576.0,58.066916,-144.121840,7,416.8
