epoch,latitude,longitude,altitude_m
0.0,39.860000,-104.670000,200.0
8.0,39.873463,-104.602960,372.1
16.0,39.886924,-104.535920,542.8
24.0,39.900378,-104.468880,712.2
32.0,39.913822,-104.401840,880.1
40.0,39.927254,-104.334800,1,046.7
48.0,39.940670,-104.267760,1,211.9
56.0,39.954067,-104.200720,1,375.7
64.0,39.967442,-104.133680,1,538.2
72.0,39.980792,-104.066640,1,699.2
80.0,39.994113,-103.999600,1,858.9
88.0,40.007403,-103.932560,2,017.2
96.0,40.020659,-103.865520,2,174.1
104.0,40.033877,-103.798480,2,329.6
112.0,40.047055,-103.731440,2,483.7
120.0,40.060189,-103.664400,2,636.5
128.0,40.073277,-103.597360,2,787.9
136.0,40.086316,-103.530320,2,937.8
144.0,40.099302,-103.463280,3,086.5
152.0,40.112233,-103.396240,3,233.7
160.0,40.125106,-103.329200,3,379.5
168.0,40.137918,-103.262160,3,524.0
176.0,40.150667,-103.195120,3,667.1
184.0,40.163350,-103.128080,3,808.8
192.0,40.175963,-103.061040,3,949.1
200.0,40.188506,-102.994000,4,088.0
208.0,40.200973,-102.926960,4,225.5
216.0,40.213365,-102.859920,4,361.7
224.0,40.225677,-102.792880,4,496.5
232.0,40.237907,-102.725840,4,629.9
240.0,40.250054,-102.658800,4,761.9
248.0,40.262114,-102.591760,4,892.6
256.0,40.274085,-102.524720,5,021.8
264.0,40.285966,-102.457680,5,149.7
272.0,40.297753,-102.390640,5,276.2
280.0,40.309446,-102.323600,5,401.3
288.0,40.321041,-102.256560,5,525.0
296.0,40.332537,-102.189520,5,647.3
304.0,40.343932,-102.122480,5,768.3
312.0,40.355224,-102.055440,5,887.9
320.0,40.366411,-101.988400,6,006.1
328.0,40.377492,-101.921360,6,122.9
336.0,40.388464,-101.854320,6,238.3
344.0,40.399327,-101.787280,6,352.4
352.0,40.410078,-101.720240,6,465.0
360.0,40.420717,-101.653200,6,576.3
368.0,40.431241,-101.586160,6,686.2
376.0,40.441650,-101.519120,6,794.7
384.0,40.451942,-101.452080,6,901.9
392.0,40.462117,-101.385040,7,007.6
400.0,40.472172,-101.318000,7,112.0
408.0,40.482107,-101.250960,7,215.0
416.0,40.491922,-101.183920,7,316.6
424.0,40.501614,-101.116880,7,416.8
432.0,40.511184,-101.049840,7,515.7
440.0,40.520631,-100.982800,7,613.1
448.0,40.529954,-100.915760,7,709.2
456.0,40.539152,-100.848720,7,803.9
464.0,40.548226,-100.781680,7,897.2
472.0,40.557173,-100.714640,7,989.1
480.0,40.565996,-100.647600,8,079.7
488.0,40.574692,-100.580560,8,168.8
496.0,40.583262,-100.513520,8,256.6
504.0,40.591706,-100.446480,8,343.0
512.0,40.600024,-100.379440,8,428.0
520.0,40.608216,-100.312400,8,511.7
528.0,40.616281,-100.245360,8,593.9
536.0,40.624221,-100.178320,8,674.8
544.0,40.632036,-100.111280,8,754.3
552.0,40.639726,-100.044240,8,832.4
560.0,40.647291,-99.977200,8,909.1
568.0,40.654732,-99.910160,8,984.5
576.0,40.662050,-99.843120,9,058.4
584.0,40.669245,-99.776080,9,131.0
592.0,40.676318,-99.709040,9,202.2
600.0,40.683270,-99.642000,9,272.0
608.0,40.690102,-99.574960,9,340.4
616.0,40.696816,-99.507920,9,407.5
624.0,40.703411,-99.440880,9,473.1
632.0,40.709889,-99.373840,9,537.4
640.0,40.716252,-99.306800,9,600.3
648.0,40.722501,-99.239760,9,661.8
656.0,40.728637,-99.172720,9,722.0
664.0,40.734661,-99.105680,9,780.7
672.0,40.740575,-99.038640,9,838.1
680.0,40.746382,-98.971600,9,894.1
688.0,40.752081,-98.904560,9,948.7
696.0,40.757676,-98.837520,10,001.9
704.0,40.763167,-98.770480,10,053.7
712.0,40.768558,-98.703440,10,104.2
720.0,40.773849,-98.636400,10,153.3
728.0,40.779042,-98.569360,10,201.0
736.0,40.784141,-98.502320,10,247.3
744.0,40.789146,-98.435280,10,292.2
752.0,40.794060,-98.368240,10,335.8
760.0,40.798886,-98.301200,10,377.9
768.0,40.803625,-98.234160,10,418.7
776.0,40.808280,-98.167120,10,458.1
784.0,40.812853,-98.100080,10,496.1
792.0,40.817346,-98.033040,10,532.7
800.0,40.821763,-97.966000,10,568.0
808.0,40.826106,-97.898960,10,601.9
816.0,40.830376,-97.831920,10,634.4
824.0,40.834578,-97.764880,10,665.5
832.0,40.838714,-97.697840,10,695.2
840.0,40.842785,-97.630800,10,723.5
848.0,40.846796,-97.563760,10,750.5
856.0,40.850748,-97.496720,10,776.1
864.0,40.854646,-97.429680,10,800.2
872.0,40.858490,-97.362640,10,823.1
880.0,40.862285,-97.295600,10,844.5
888.0,40.866034,-97.228560,10,864.5
896.0,40.869739,-97.161520,10,883.2
904.0,40.873403,-97.094480,10,900.5
912.0,40.877030,-97.027440,10,916.4
920.0,40.880622,-96.960400,10,930.9
928.0,40.884182,-96.893360,10,944.0
936.0,40.887714,-96.826320,10,955.8
944.0,40.891221,-96.759280,10,966.1
952.0,40.894705,-96.692240,10,975.1
960.0,40.898170,-96.625200,10,982.7
968.0,40.901619,-96.558160,10,988.9
976.0,40.905055,-96.491120,10,993.8
984.0,40.908482,-96.424080,10,997.2
992.0,40.911902,-96.357040,10,999.3
1,000.0,40.915319,-96.290000,11,000.0
1,008.0,40.918735,-96.222960,10,999.3
1,016.0,40.922154,-96.155920,10,997.2
1,024.0,40.925580,-96.088880,10,993.8
1,032.0,40.929015,-96.021840,10,988.9
1,040.0,40.932462,-95.954800,10,982.7
1,048.0,40.935925,-95.887760,10,975.1
1,056.0,40.939407,-95.820720,10,966.1
1,064.0,40.942910,-95.753680,10,955.8
1,072.0,40.946439,-95.686640,10,944.0
1,080.0,40.949995,-95.619600,10,930.9
1,088.0,40.953583,-95.552560,10,916.4
1,096.0,40.957205,-95.485520,10,900.5
1,104.0,40.960864,-95.418480,10,883.2
1,112.0,40.964564,-95.351440,10,864.5
1,120.0,40.968307,-95.284400,10,844.5
1,128.0,40.972096,-95.217360,10,823.1
