epoch,latitude,longitude,altitude_m
0.0,34.050000,-118.240000,200.0
8.0,34.109263,-118.256360,372.1
16.0,34.168524,-118.272720,542.8
24.0,34.227778,-118.289080,712.2
32.0,34.287022,-118.305440,880.1
40.0,34.346254,-118.321800,1,046.7
48.0,34.405470,-118.338160,1,211.9
56.0,34.464667,-118.354520,1,375.7
64.0,34.523842,-118.370880,1,538.2
72.0,34.582992,-118.387240,1,699.2
80.0,34.642113,-118.403600,1,858.9
88.0,34.701203,-118.419960,2,017.2
96.0,34.760259,-118.436320,2,174.1
104.0,34.819277,-118.452680,2,329.6
112.0,34.878255,-118.469040,2,483.7
120.0,34.937189,-118.485400,2,636.5
128.0,34.996077,-118.501760,2,787.9
136.0,35.054916,-118.518120,2,937.8
144.0,35.113702,-118.534480,3,086.5
152.0,35.172433,-118.550840,3,233.7
160.0,35.231106,-118.567200,3,379.5
168.0,35.289718,-118.583560,3,524.0
176.0,35.348267,-118.599920,3,667.1
184.0,35.406750,-118.616280,3,808.8
192.0,35.465163,-118.632640,3,949.1
200.0,35.523506,-118.649000,4,088.0
208.0,35.581773,-118.665360,4,225.5
216.0,35.639965,-118.681720,4,361.7
224.0,35.698077,-118.698080,4,496.5
232.0,35.756107,-118.714440,4,629.9
240.0,35.814054,-118.730800,4,761.9
248.0,35.871914,-118.747160,4,892.6
256.0,35.929685,-118.763520,5,021.8
264.0,35.987366,-118.779880,5,149.7
272.0,36.044953,-118.796240,5,276.2
280.0,36.102446,-118.812600,5,401.3
288.0,36.159841,-118.828960,5,525.0
296.0,36.217137,-118.845320,5,647.3
304.0,36.274332,-118.861680,5,768.3
312.0,36.331424,-118.878040,5,887.9
320.0,36.388411,-118.894400,6,006.1
328.0,36.445292,-118.910760,6,122.9
336.0,36.502064,-118.927120,6,238.3
344.0,36.558727,-118.943480,6,352.4
352.0,36.615278,-118.959840,6,465.0
360.0,36.671717,-118.976200,6,576.3
368.0,36.728041,-118.992560,6,686.2
376.0,36.784250,-119.008920,6,794.7
384.0,36.840342,-119.025280,6,901.9
392.0,36.896317,-119.041640,7,007.6
400.0,36.952172,-119.058000,7,112.0
408.0,37.007907,-119.074360,7,215.0
416.0,37.063522,-119.090720,7,316.6
424.0,37.119014,-119.107080,7,416.8
432.0,37.174384,-119.123440,7,515.7
440.0,37.229631,-119.139800,7,613.1
448.0,37.284754,-119.156160,7,709.2
456.0,37.339752,-119.172520,7,803.9
464.0,37.394626,-119.188880,7,897.2
472.0,37.449373,-119.205240,7,989.1
480.0,37.503996,-119.221600,8,079.7
488.0,37.558492,-119.237960,8,168.8
496.0,37.612862,-119.254320,8,256.6
504.0,37.667106,-119.270680,8,343.0
512.0,37.721224,-119.287040,8,428.0
520.0,37.775216,-119.303400,8,511.7
528.0,37.829081,-119.319760,8,593.9
536.0,37.882821,-119.336120,8,674.8
544.0,37.936436,-119.352480,8,754.3
552.0,37.989926,-119.368840,8,832.4
560.0,38.043291,-119.385200,8,909.1
568.0,38.096532,-119.401560,8,984.5
576.0,38.149650,-119.417920,9,058.4
584.0,38.202645,-119.434280,9,131.0
592.0,38.255518,-119.450640,9,202.2
600.0,38.308270,-119.467000,9,272.0
608.0,38.360902,-119.483360,9,340.4
616.0,38.413416,-119.499720,9,407.5
624.0,38.465811,-119.516080,9,473.1
632.0,38.518089,-119.532440,9,537.4
640.0,38.570252,-119.548800,9,600.3
648.0,38.622301,-119.565160,9,661.8
656.0,38.674237,-119.581520,9,722.0
664.0,38.726061,-119.597880,9,780.7
672.0,38.777775,-119.614240,9,838.1
680.0,38.829382,-119.630600,9,894.1
688.0,38.880881,-119.646960,9,948.7
696.0,38.932276,-119.663320,10,001.9
704.0,38.983567,-119.679680,10,053.7
712.0,39.034758,-119.696040,10,104.2
720.0,39.085849,-119.712400,10,153.3
728.0,39.136842,-119.728760,10,201.0
736.0,39.187741,-119.745120,10,247.3
744.0,39.238546,-119.761480,10,292.2
752.0,39.289260,-119.777840,10,335.8
760.0,39.339886,-119.794200,10,377.9
768.0,39.390425,-119.810560,10,418.7
776.0,39.440880,-119.826920,10,458.1
784.0,39.491253,-119.843280,10,496.1
792.0,39.541546,-119.859640,10,532.7
800.0,39.591763,-119.876000,10,568.0
808.0,39.641906,-119.892360,10,601.9
816.0,39.691976,-119.908720,10,634.4
