epoch,latitude,longitude,altitude_m
0.0,1.290000,103.850000,200.0
8.0,1.432583,103.993360,372.1
16.0,1.575164,104.136720,542.8
24.0,1.717738,104.280080,712.2
32.0,1.860302,104.423440,880.1
40.0,2.002854,104.566800,1,046.7
48.0,2.145390,104.710160,1,211.9
56.0,2.287907,104.853520,1,375.7
64.0,2.430402,104.996880,1,538.2
72.0,2.572872,105.140240,1,699.2
80.0,2.715313,105.283600,1,858.9
88.0,2.857723,105.426960,2,017.2
96.0,3.000099,105.570320,2,174.1
104.0,3.142437,105.713680,2,329.6
112.0,3.284735,105.857040,2,483.7
120.0,3.426989,106.000400,2,636.5
128.0,3.569197,106.143760,2,787.9
136.0,3.711356,106.287120,2,937.8
144.0,3.853462,106.430480,3,086.5
152.0,3.995513,106.573840,3,233.7
160.0,4.137506,106.717200,3,379.5
168.0,4.279438,106.860560,3,524.0
176.0,4.421307,107.003920,3,667.1
184.0,4.563110,107.147280,3,808.8
192.0,4.704843,107.290640,3,949.1
200.0,4.846506,107.434000,4,088.0
208.0,4.988093,107.577360,4,225.5
216.0,5.129605,107.720720,4,361.7
224.0,5.271037,107.864080,4,496.5
232.0,5.412387,108.007440,4,629.9
240.0,5.553654,108.150800,4,761.9
248.0,5.694834,108.294160,4,892.6
256.0,5.835925,108.437520,5,021.8
264.0,5.976926,108.580880,5,149.7
272.0,6.117833,108.724240,5,276.2
280.0,6.258646,108.867600,5,401.3
288.0,6.399361,109.010960,5,525.0
296.0,6.539977,109.154320,5,647.3
304.0,6.680492,109.297680,5,768.3
312.0,6.820904,109.441040,5,887.9
320.0,6.961211,109.584400,6,006.1
328.0,7.101412,109.727760,6,122.9
336.0,7.241504,109.871120,6,238.3
344.0,7.381487,110.014480,6,352.4
352.0,7.521358,110.157840,6,465.0
360.0,7.661117,110.301200,6,576.3
368.0,7.800761,110.444560,6,686.2
376.0,7.940290,110.587920,6,794.7
384.0,8.079702,110.731280,6,901.9
392.0,8.218997,110.874640,7,007.6
400.0,8.358172,111.018000,7,112.0
408.0,8.497227,111.161360,7,215.0
416.0,8.636162,111.304720,7,316.6
424.0,8.774974,111.448080,7,416.8
432.0,8.913664,111.591440,7,515.7
440.0,9.052231,111.734800,7,613.1
448.0,9.190674,111.878160,7,709.2
456.0,9.328992,112.021520,7,803.9
464.0,9.467186,112.164880,7,897.2
472.0,9.605253,112.308240,7,989.1
480.0,9.743196,112.451600,8,079.7
488.0,9.881012,112.594960,8,168.8
496.0,10.018702,112.738320,8,256.6
504.0,10.156266,112.881680,8,343.0
512.0,10.293704,113.025040,8,428.0
520.0,10.431016,113.168400,8,511.7
528.0,10.568201,113.311760,8,593.9
536.0,10.705261,113.455120,8,674.8
544.0,10.842196,113.598480,8,754.3
552.0,10.979006,113.741840,8,832.4
560.0,11.115691,113.885200,8,909.1
568.0,11.252252,114.028560,8,984.5
576.0,11.388690,114.171920,9,058.4
584.0,11.525005,114.315280,9,131.0
592.0,11.661198,114.458640,9,202.2
600.0,11.797270,114.602000,9,272.0
608.0,11.933222,114.745360,9,340.4
616.0,12.069056,114.888720,9,407.5
624.0,12.204771,115.032080,9,473.1
632.0,12.340369,115.175440,9,537.4
640.0,12.475852,115.318800,9,600.3
648.0,12.611221,115.462160,9,661.8
656.0,12.746477,115.605520,9,722.0
664.0,12.881621,115.748880,9,780.7
672.0,13.016655,115.892240,9,838.1
680.0,13.151582,116.035600,9,894.1
688.0,13.286401,116.178960,9,948.7
696.0,13.421116,116.322320,10,001.9
704.0,13.555727,116.465680,10,053.7
712.0,13.690238,116.609040,10,104.2
720.0,13.824649,116.752400,10,153.3
728.0,13.958962,116.895760,10,201.0
736.0,14.093181,117.039120,10,247.3
744.0,14.227306,117.182480,10,292.2
