t,lat,lon,alt
0.0,51.470000,-0.462000,800.0
6.5,51.473383,-0.467820,922.9
12.9,51.476766,-0.473641,1045.8
19.4,51.480149,-0.479461,1168.6
25.9,51.483532,-0.485281,1291.1
32.4,51.486915,-0.491101,1413.5
38.8,51.490298,-0.496922,1535.5
45.3,51.493681,-0.502742,1657.1
51.8,51.497063,-0.508562,1778.3
58.3,51.500446,-0.514382,1898.9
64.7,51.503829,-0.520203,2019.1
71.2,51.507212,-0.526023,2138.6
77.7,51.510595,-0.531843,2257.4
84.2,51.513978,-0.537663,2375.5
90.6,51.517361,-0.543484,2492.7
97.1,51.520744,-0.549304,2609.1
103.6,51.524127,-0.555124,2724.6
110.1,51.527510,-0.560945,2839.1
116.5,51.530893,-0.566765,2952.6
123.0,51.534276,-0.572585,3064.9
129.5,51.537659,-0.578405,3176.1
136.0,51.541042,-0.584226,3286.1
142.4,51.544425,-0.590046,3394.8
148.9,51.547808,-0.595866,3502.2
155.4,51.551190,-0.601686,3608.2
161.9,51.554573,-0.607507,3712.8
168.3,51.557956,-0.613327,3815.9
174.8,51.561339,-0.619147,3917.5
181.3,51.564722,-0.624967,4017.4
187.8,51.568105,-0.630788,4115.7
194.2,51.571488,-0.636608,4212.3
200.7,51.574871,-0.642428,4307.2
207.2,51.578254,-0.648249,4400.3
213.7,51.581637,-0.654069,4491.5
220.1,51.585020,-0.659889,4580.9
226.6,51.588403,-0.665709,4668.3
233.1,51.591786,-0.671530,4753.8
239.6,51.595169,-0.677350,4837.2
246.0,51.598552,-0.683170,4918.6
252.5,51.601935,-0.688990,4997.9
259.0,51.605317,-0.694811,5075.0
265.5,51.608700,-0.700631,5149.9
271.9,51.612083,-0.706451,5222.6
278.4,51.615466,-0.712271,5293.1
284.9,51.618849,-0.718092,5361.3
291.4,51.622232,-0.723912,5427.1
297.8,51.625615,-0.729732,5490.6
304.3,51.628998,-0.735553,5551.6
310.8,51.632381,-0.741373,5610.3
317.3,51.635764,-0.747193,5666.5
323.7,51.639147,-0.753013,5720.2
330.2,51.642530,-0.758834,5771.4
336.7,51.645913,-0.764654,5820.0
343.2,51.649296,-0.770474,5866.1
349.6,51.652679,-0.776294,5909.6
356.1,51.656062,-0.782115,5950.5
362.6,51.659444,-0.787935,5988.7
369.1,51.662827,-0.793755,6024.3
375.5,51.666210,-0.799575,6057.3
382.0,51.669593,-0.805396,6087.5
388.5,51.672976,-0.811216,6115.1
395.0,51.676359,-0.817036,6139.9
401.4,51.679742,-0.822857,6162.0
407.9,51.683125,-0.828677,6181.4
414.4,51.686508,-0.834497,6198.0
420.9,51.689891,-0.840317,6211.9
427.3,51.693274,-0.846138,6223.0
433.8,51.696657,-0.851958,6231.3
440.3,51.700040,-0.857778,6236.9
