epoch,latitude,longitude,altitude_m
0.0,55.750000,37.620000,200.0
8.0,55.769343,37.541800,372.1
16.0,55.788684,37.463600,542.8
24.0,55.808018,37.385400,712.2
32.0,55.827342,37.307200,880.1
40.0,55.846654,37.229000,1,046.7
48.0,55.865950,37.150800,1,211.9
56.0,55.885227,37.072600,1,375.7
64.0,55.904482,36.994400,1,538.2
72.0,55.923712,36.916200,1,699.2
80.0,55.942913,36.838000,1,858.9
88.0,55.962083,36.759800,2,017.2
96.0,55.981219,36.681600,2,174.1
104.0,56.000317,36.603400,2,329.6
112.0,56.019375,36.525200,2,483.7
120.0,56.038389,36.447000,2,636.5
128.0,56.057357,36.368800,2,787.9
136.0,56.076276,36.290600,2,937.8
144.0,56.095142,36.212400,3,086.5
152.0,56.113953,36.134200,3,233.7
160.0,56.132706,36.056000,3,379.5
168.0,56.151398,35.977800,3,524.0
176.0,56.170027,35.899600,3,667.1
184.0,56.188590,35.821400,3,808.8
192.0,56.207083,35.743200,3,949.1
200.0,56.225506,35.665000,4,088.0
208.0,56.243853,35.586800,4,225.5
216.0,56.262125,35.508600,4,361.7
224.0,56.280317,35.430400,4,496.5
232.0,56.298427,35.352200,4,629.9
240.0,56.316454,35.274000,4,761.9
248.0,56.334394,35.195800,4,892.6
256.0,56.352245,35.117600,5,021.8
264.0,56.370006,35.039400,5,149.7
272.0,56.387673,34.961200,5,276.2
280.0,56.405246,34.883000,5,401.3
288.0,56.422721,34.804800,5,525.0
296.0,56.440097,34.726600,5,647.3
304.0,56.457372,34.648400,5,768.3
312.0,56.474544,34.570200,5,887.9
320.0,56.491611,34.492000,6,006.1
328.0,56.508572,34.413800,6,122.9
336.0,56.525424,34.335600,6,238.3
344.0,56.542167,34.257400,6,352.4
352.0,56.558798,34.179200,6,465.0
360.0,56.575317,34.101000,6,576.3
368.0,56.591721,34.022800,6,686.2
376.0,56.608010,33.944600,6,794.7
384.0,56.624182,33.866400,6,901.9
392.0,56.640237,33.788200,7,007.6
400.0,56.656172,33.710000,7,112.0
408.0,56.671987,33.631800,7,215.0
416.0,56.687682,33.553600,7,316.6
424.0,56.703254,33.475400,7,416.8
432.0,56.718704,33.397200,7,515.7
440.0,56.734031,33.319000,7,613.1
448.0,56.749234,33.240800,7,709.2
456.0,56.764312,33.162600,7,803.9
464.0,56.779266,33.084400,7,897.2
472.0,56.794093,33.006200,7,989.1
480.0,56.808796,32.928000,8,079.7
488.0,56.823372,32.849800,8,168.8
496.0,56.837822,32.771600,8,256.6
504.0,56.852146,32.693400,8,343.0
512.0,56.866344,32.615200,8,428.0
520.0,56.880416,32.537000,8,511.7
528.0,56.894361,32.458800,8,593.9
536.0,56.908181,32.380600,8,674.8
544.0,56.921876,32.302400,8,754.3
552.0,56.935446,32.224200,8,832.4
560.0,56.948891,32.146000,8,909.1
568.0,56.962212,32.067800,8,984.5
576.0,56.975410,31.989600,9,058.4
584.0,56.988485,31.911400,9,131.0
592.0,57.001438,31.833200,9,202.2
600.0,57.014270,31.755000,9,272.0
608.0,57.026982,31.676800,9,340.4
616.0,57.039576,31.598600,9,407.5
624.0,57.052051,31.520400,9,473.1
632.0,57.064409,31.442200,9,537.4
640.0,57.076652,31.364000,9,600.3
648.0,57.088781,31.285800,9,661.8
656.0,57.100797,31.207600,9,722.0
664.0,57.112701,31.129400,9,780.7
672.0,57.124495,31.051200,9,838.1
680.0,57.136182,30.973000,9,894.1
688.0,57.147761,30.894800,9,948.7
696.0,57.159236,30.816600,10,001.9
704.0,57.170607,30.738400,10,053.7
712.0,57.181878,30.660200,10,104.2
720.0,57.193049,30.582000,10,153.3
728.0,57.204122,30.503800,10,201.0
736.0,57.215101,30.425600,10,247.3
744.0,57.225986,30.347400,10,292.2
752.0,57.236780,30.269200,10,335.8
760.0,57.247486,30.191000,10,377.9
768.0,57.258105,30.112800,10,418.7
776.0,57.268640,30.034600,10,458.1
784.0,57.279093,29.956400,10,496.1
792.0,57.289466,29.878200,10,532.7
800.0,57.299763,29.800000,10,568.0
808.0,57.309986,29.721800,10,601.9
816.0,57.320136,29.643600,10,634.4
824.0,57.330218,29.565400,10,665.5
832.0,57.340234,29.487200,10,695.2
840.0,57.350185,29.409000,10,723.5
848.0,57.360076,29.330800,10,750.5
856.0,57.369908,29.252600,10,776.1
864.0,57.379686,29.174400,10,800.2
872.0,57.389410,29.096200,10,823.1
880.0,57.399085,29.018000,10,844.5
888.0,57.408714,28.939800,10,864.5
896.0,57.418299,28.861600,10,883.2
904.0,57.427843,28.783400,10,900.5
912.0,57.437350,28.705200,10,916.4
920.0,57.446822,28.627000,10,930.9
928.0,57.456262,28.548800,10,944.0
936.0,57.465674,28.470600,10,955.8
944.0,57.475061,28.392400,10,966.1
952.0,57.484425,28.314200,10,975.1
960.0,57.493770,28.236000,10,982.7
968.0,57.503099,28.157800,10,988.9
976.0,57.512415,28.079600,10,993.8
984.0,57.521722,28.001400,10,997.2
992.0,57.531022,27.923200,10,999.3
1,000.0,57.540319,27.845000,11,000.0
1,008.0,57.549615,27.766800,10,999.3
1,016.0,57.558914,27.688600,10,997.2
1,024.0,57.568220,27.610400,10,993.8
1,032.0,57.577535,27.532200,10,988.9
1,040.0,57.586862,27.454000,10,982.7
1,048.0,57.596205,27.375800,10,975.1
1,056.0,57.605567,27.297600,10,966.1
1,064.0,57.614950,27.219400,10,955.8
1,072.0,57.624359,27.141200,10,944.0
1,080.0,57.633795,27.063000,10,930.9
1,088.0,57.643263,26.984800,10,916.4
1,096.0,57.652765,26.906600,10,900.5
1,104.0,57.662304,26.828400,10,883.2
1,112.0,57.671884,26.750200,10,864.5
1,120.0,57.681507,26.672000,10,844.5
1,128.0,57.691176,26.593800,10,823.1
