t,lat,lon,alt
0.0,-23.435000,-46.473000,800.0
6.5,-23.443496,-46.460783,932.0
12.9,-23.451991,-46.448567,1063.9
19.4,-23.460487,-46.436350,1195.7
25.9,-23.468983,-46.424134,1327.2
32.4,-23.477479,-46.411917,1458.6
38.8,-23.485974,-46.399701,1589.5
45.3,-23.494470,-46.387484,1720.1
51.8,-23.502966,-46.375268,1850.2
58.3,-23.511462,-46.363051,1979.8
64.7,-23.519957,-46.350835,2108.7
71.2,-23.528453,-46.338618,2237.0
77.7,-23.536949,-46.326402,2364.6
84.2,-23.545444,-46.314185,2491.3
90.6,-23.553940,-46.301969,2617.2
97.1,-23.562436,-46.289752,2742.2
103.6,-23.570932,-46.277536,2866.1
110.1,-23.579427,-46.265319,2989.1
116.5,-23.587923,-46.253103,3110.9
123.0,-23.596419,-46.240886,3231.5
129.5,-23.604915,-46.228670,3350.9
136.0,-23.613410,-46.216453,3468.9
142.4,-23.621906,-46.204237,3585.6
148.9,-23.630402,-46.192020,3700.9
155.4,-23.638897,-46.179803,3814.7
161.9,-23.647393,-46.167587,3927.0
168.3,-23.655889,-46.155370,4037.7
174.8,-23.664385,-46.143154,4146.7
181.3,-23.672880,-46.130937,4254.0
187.8,-23.681376,-46.118721,4359.5
194.2,-23.689872,-46.106504,4463.3
200.7,-23.698368,-46.094288,4565.1
207.2,-23.706863,-46.082071,4665.0
213.7,-23.715359,-46.069855,4763.0
220.1,-23.723855,-46.057638,4858.9
226.6,-23.732350,-46.045422,4952.8
233.1,-23.740846,-46.033205,5044.5
239.6,-23.749342,-46.020989,5134.1
246.0,-23.757838,-46.008772,5221.4
252.5,-23.766333,-45.996556,5306.5
259.0,-23.774829,-45.984339,5389.3
265.5,-23.783325,-45.972123,5469.8
271.9,-23.791821,-45.959906,5547.8
278.4,-23.800316,-45.947690,5623.5
284.9,-23.808812,-45.935473,5696.6
291.4,-23.817308,-45.923257,5767.3
297.8,-23.825804,-45.911040,5835.4
304.3,-23.834299,-45.898823,5901.0
310.8,-23.842795,-45.886607,5964.0
317.3,-23.851291,-45.874390,6024.3
323.7,-23.859786,-45.862174,6081.9
330.2,-23.868282,-45.849957,6136.9
336.7,-23.876778,-45.837741,6189.1
343.2,-23.885274,-45.825524,6238.6
349.6,-23.893769,-45.813308,6285.3
356.1,-23.902265,-45.801091,6329.2
362.6,-23.910761,-45.788875,6370.3
369.1,-23.919257,-45.776658,6408.5
375.5,-23.927752,-45.764442,6443.8
382.0,-23.936248,-45.752225,6476.3
