t,lat,lon,alt
0.0,35.552000,139.779000,800.0
6.5,35.548295,139.786708,913.9
12.9,35.544589,139.794417,1027.7
19.4,35.540884,139.802125,1141.5
25.9,35.537179,139.809833,1255.0
32.4,35.533473,139.817542,1368.3
38.8,35.529768,139.825250,1481.4
45.3,35.526063,139.832958,1594.1
51.8,35.522358,139.840667,1706.3
58.3,35.518652,139.848375,1818.1
64.7,35.514947,139.856083,1929.4
71.2,35.511242,139.863792,2040.2
77.7,35.507536,139.871500,2150.2
84.2,35.503831,139.879208,2259.6
90.6,35.500126,139.886917,2368.3
97.1,35.496420,139.894625,2476.1
103.6,35.492715,139.902333,2583.1
110.1,35.489010,139.910042,2689.2
116.5,35.485304,139.917750,2794.3
123.0,35.481599,139.925458,2898.4
129.5,35.477894,139.933167,3001.4
136.0,35.474188,139.940875,3103.3
142.4,35.470483,139.948583,3204.0
148.9,35.466778,139.956292,3303.5
155.4,35.463073,139.964000,3401.8
161.9,35.459367,139.971708,3498.6
168.3,35.455662,139.979417,3594.2
174.8,35.451957,139.987125,3688.2
181.3,35.448251,139.994833,3780.8
187.8,35.444546,140.002542,3871.9
194.2,35.440841,140.010250,3961.4
200.7,35.437135,140.017959,4049.3
207.2,35.433430,140.025667,4135.6
213.7,35.429725,140.033375,4220.1
220.1,35.426019,140.041084,4302.9
226.6,35.422314,140.048792,4383.9
233.1,35.418609,140.056500,4463.1
239.6,35.414904,140.064209,4540.4
246.0,35.411198,140.071917,4615.8
252.5,35.407493,140.079625,4689.2
259.0,35.403788,140.087334,4760.6
265.5,35.400082,140.095042,4830.1
271.9,35.396377,140.102750,4897.4
278.4,35.392672,140.110459,4962.7
284.9,35.388966,140.118167,5025.9
291.4,35.385261,140.125875,5086.9
297.8,35.381556,140.133584,5145.7
304.3,35.377850,140.141292,5202.2
310.8,35.374145,140.149000,5256.6
317.3,35.370440,140.156709,5308.6
323.7,35.366735,140.164417,5358.4
330.2,35.363029,140.172125,5405.8
336.7,35.359324,140.179834,5450.9
343.2,35.355619,140.187542,5493.6
349.6,35.351913,140.195250,5533.9
356.1,35.348208,140.202959,5571.8
362.6,35.344503,140.210667,5607.2
369.1,35.340797,140.218375,5640.2
375.5,35.337092,140.226084,5670.7
382.0,35.333387,140.233792,5698.7
388.5,35.329681,140.241500,5724.3
395.0,35.325976,140.249209,5747.3
401.4,35.322271,140.256917,5767.8
407.9,35.318565,140.264625,5785.7
414.4,35.314860,140.272334,5801.1
420.9,35.311155,140.280042,5814.0
427.3,35.307450,140.287750,5824.2
433.8,35.303744,140.295459,5832.0
440.3,35.300039,140.303167,5837.1
446.8,35.296334,140.310875,5839.7
453.2,35.292628,140.318584,5839.7
459.7,35.288923,140.326292,5837.1
466.2,35.285218,140.334000,5832.0
472.7,35.281512,140.341709,5824.2
479.1,35.277807,140.349417,5814.0
485.6,35.274102,140.357125,5801.1
492.1,35.270396,140.364834,5785.7
498.6,35.266691,140.372542,5767.8
505.0,35.262986,140.380250,5747.3
511.5,35.259281,140.387959,5724.3
518.0,35.255575,140.395667,5698.7
524.5,35.251870,140.403375,5670.7
530.9,35.248165,140.411084,5640.2
537.4,35.244459,140.418792,5607.2
543.9,35.240754,140.426500,5571.8
550.4,35.237049,140.434209,5533.9
556.8,35.233343,140.441917,5493.6
563.3,35.229638,140.449625,5450.9
569.8,35.225933,140.457334,5405.8
576.3,35.222227,140.465042,5358.4
582.7,35.218522,140.472751,5308.6
589.2,35.214817,140.480459,5256.6
595.7,35.211111,140.488167,5202.2
602.2,35.207406,140.495876,5145.7
608.6,35.203701,140.503584,5086.9
615.1,35.199996,140.511292,5025.9
621.6,35.196290,140.519001,4962.7
628.1,35.192585,140.526709,4897.4
634.5,35.188880,140.534417,4830.1
641.0,35.185174,140.542126,4760.6
647.5,35.181469,140.549834,4689.2
654.0,35.177764,140.557542,4615.8
660.4,35.174058,140.565251,4540.4
666.9,35.170353,140.572959,4463.1
673.4,35.166648,140.580667,4383.9
679.9,35.162942,140.588376,4302.9
686.3,35.159237,140.596084,4220.1
692.8,35.155532,140.603792,4135.6
699.3,35.151827,140.611501,4049.3
705.8,35.148121,140.619209,3961.4
712.2,35.144416,140.626917,3871.9
718.7,35.140711,140.634626,3780.8
725.2,35.137005,140.642334,3688.2
731.7,35.133300,140.650042,3594.2
738.1,35.129595,140.657751,3498.6
744.6,35.125889,140.665459,3401.8
751.1,35.122184,140.673167,3303.5
757.6,35.118479,140.680876,3204.0
764.0,35.114773,140.688584,3103.3
770.5,35.111068,140.696292,3001.4
777.0,35.107363,140.704001,2898.4
783.5,35.103658,140.711709,2794.3
789.9,35.099952,140.719417,2689.2
796.4,35.096247,140.727126,2583.1
802.9,35.092542,140.734834,2476.1
809.4,35.088836,140.742542,2368.3
815.8,35.085131,140.750251,2259.6
822.3,35.081426,140.757959,2150.2
828.8,35.077720,140.765667,2040.2
835.3,35.074015,140.773376,1929.4
841.7,35.070310,140.781084,1818.1
848.2,35.066604,140.788792,1706.3
854.7,35.062899,140.796501,1594.1
861.2,35.059194,140.804209,1481.4
867.6,35.055488,140.811917,1368.3
874.1,35.051783,140.819626,1255.0
880.6,35.048078,140.827334,1141.5
887.1,35.044373,140.835042,1027.7
893.5,35.040667,140.842751,913.9
900.0,35.036962,140.850459,800.0
