t,lat,lon,alt
0.0,1.359000,103.989000,800.0
11.4,1.373274,103.995494,1022.6
22.8,1.387548,104.001988,1244.9
34.2,1.401821,104.008482,1466.5
45.6,1.416095,104.014976,1687.0
57.0,1.430369,104.021470,1906.2
68.4,1.444643,104.027964,2123.5
79.7,1.458917,104.034458,2338.8
91.1,1.473190,104.040952,2551.7
102.5,1.487464,104.047446,2761.7
113.9,1.501738,104.053941,2968.7
125.3,1.516012,104.060435,3172.3
136.7,1.530286,104.066929,3372.1
148.1,1.544560,104.073423,3567.8
159.5,1.558833,104.079917,3759.1
170.9,1.573107,104.086411,3945.8
182.3,1.587381,104.092905,4127.5
193.7,1.601655,104.099399,4304.0
205.1,1.615929,104.105893,4474.9
216.5,1.630202,104.112387,4640.0
227.8,1.644476,104.118881,4799.0
239.2,1.658750,104.125375,4951.7
250.6,1.673024,104.131869,5097.8
262.0,1.687298,104.138363,5237.1
273.4,1.701571,104.144857,5369.4
284.8,1.715845,104.151351,5494.5
296.2,1.730119,104.157845,5612.2
307.6,1.744393,104.164339,5722.3
319.0,1.758667,104.170833,5824.5
330.4,1.772941,104.177328,5918.9
341.8,1.787214,104.183822,6005.1
353.2,1.801488,104.190316,6083.1
364.6,1.815762,104.196810,6152.8
375.9,1.830036,104.203304,6214.0
387.3,1.844310,104.209798,6266.6
398.7,1.858583,104.216292,6310.6
410.1,1.872857,104.222786,6345.8
421.5,1.887131,104.229280,6372.3
432.9,1.901405,104.235774,6390.0
444.3,1.915679,104.242268,6398.9
455.7,1.929952,104.248762,6398.9
467.1,1.944226,104.255256,6390.0
478.5,1.958500,104.261750,6372.3
489.9,1.972774,104.268244,6345.8
501.3,1.987048,104.274738,6310.6
512.7,2.001322,104.281232,6266.6
524.1,2.015595,104.287726,6214.0
535.4,2.029869,104.294221,6152.8
546.8,2.044143,104.300715,6083.1
558.2,2.058417,104.307209,6005.1
569.6,2.072691,104.313703,5918.9
581.0,2.086964,104.320197,5824.5
592.4,2.101238,104.326691,5722.3
603.8,2.115512,104.333185,5612.2
615.2,2.129786,104.339679,5494.5
626.6,2.144060,104.346173,5369.4
638.0,2.158333,104.352667,5237.1
649.4,2.172607,104.359161,5097.8
660.8,2.186881,104.365655,4951.7
672.2,2.201155,104.372149,4799.0
683.5,2.215429,104.378643,4640.0
694.9,2.229703,104.385137,4474.9
706.3,2.243976,104.391631,4304.0
717.7,2.258250,104.398125,4127.5
729.1,2.272524,104.404619,3945.8
740.5,2.286798,104.411113,3759.1
751.9,2.301072,104.417608,3567.8
763.3,2.315345,104.424102,3372.1
774.7,2.329619,104.430596,3172.3
786.1,2.343893,104.437090,2968.7
797.5,2.358167,104.443584,2761.7
808.9,2.372441,104.450078,2551.7
820.3,2.386714,104.456572,2338.8
831.6,2.400988,104.463066,2123.5
843.0,2.415262,104.469560,1906.2
854.4,2.429536,104.476054,1687.0
865.8,2.443810,104.482548,1466.5
877.2,2.458084,104.489042,1244.9
888.6,2.472357,104.495536,1022.6
900.0,2.486631,104.502030,800.0
