epoch,latitude,longitude,altitude_m
0.0,40.500000,-3.570000,200.0
8.0,40.552263,-3.536640,372.1
16.0,40.604524,-3.503280,542.8
24.0,40.656778,-3.469920,712.2
32.0,40.709022,-3.436560,880.1
40.0,40.761254,-3.403200,1,046.7
48.0,40.813470,-3.369840,1,211.9
56.0,40.865667,-3.336480,1,375.7
64.0,40.917842,-3.303120,1,538.2
72.0,40.969992,-3.269760,1,699.2
80.0,41.022113,-3.236400,1,858.9
88.0,41.074203,-3.203040,2,017.2
96.0,41.126259,-3.169680,2,174.1
104.0,41.178277,-3.136320,2,329.6
112.0,41.230255,-3.102960,2,483.7
120.0,41.282189,-3.069600,2,636.5
128.0,41.334077,-3.036240,2,787.9
136.0,41.385916,-3.002880,2,937.8
144.0,41.437702,-2.969520,3,086.5
152.0,41.489433,-2.936160,3,233.7
160.0,41.541106,-2.902800,3,379.5
168.0,41.592718,-2.869440,3,524.0
176.0,41.644267,-2.836080,3,667.1
184.0,41.695750,-2.802720,3,808.8
192.0,41.747163,-2.769360,3,949.1
200.0,41.798506,-2.736000,4,088.0
208.0,41.849773,-2.702640,4,225.5
216.0,41.900965,-2.669280,4,361.7
224.0,41.952077,-2.635920,4,496.5
232.0,42.003107,-2.602560,4,629.9
240.0,42.054054,-2.569200,4,761.9
248.0,42.104914,-2.535840,4,892.6
256.0,42.155685,-2.502480,5,021.8
264.0,42.206366,-2.469120,5,149.7
272.0,42.256953,-2.435760,5,276.2
280.0,42.307446,-2.402400,5,401.3
288.0,42.357841,-2.369040,5,525.0
296.0,42.408137,-2.335680,5,647.3
304.0,42.458332,-2.302320,5,768.3
312.0,42.508424,-2.268960,5,887.9
320.0,42.558411,-2.235600,6,006.1
328.0,42.608292,-2.202240,6,122.9
336.0,42.658064,-2.168880,6,238.3
344.0,42.707727,-2.135520,6,352.4
352.0,42.757278,-2.102160,6,465.0
360.0,42.806717,-2.068800,6,576.3
368.0,42.856041,-2.035440,6,686.2
376.0,42.905250,-2.002080,6,794.7
384.0,42.954342,-1.968720,6,901.9
392.0,43.003317,-1.935360,7,007.6
400.0,43.052172,-1.902000,7,112.0
408.0,43.100907,-1.868640,7,215.0
416.0,43.149522,-1.835280,7,316.6
424.0,43.198014,-1.801920,7,416.8
432.0,43.246384,-1.768560,7,515.7
440.0,43.294631,-1.735200,7,613.1
448.0,43.342754,-1.701840,7,709.2
456.0,43.390752,-1.668480,7,803.9
464.0,43.438626,-1.635120,7,897.2
472.0,43.486373,-1.601760,7,989.1
480.0,43.533996,-1.568400,8,079.7
488.0,43.581492,-1.535040,8,168.8
496.0,43.628862,-1.501680,8,256.6
504.0,43.676106,-1.468320,8,343.0
512.0,43.723224,-1.434960,8,428.0
520.0,43.770216,-1.401600,8,511.7
528.0,43.817081,-1.368240,8,593.9
536.0,43.863821,-1.334880,8,674.8
544.0,43.910436,-1.301520,8,754.3
552.0,43.956926,-1.268160,8,832.4
