t,lat,lon,alt
0.0,40.641000,-73.778000,800.0
7.6,40.640736,-73.796905,941.5
15.1,40.640472,-73.815809,1082.9
22.7,40.640208,-73.834714,1224.1
30.3,40.639944,-73.853619,1365.0
37.8,40.639680,-73.872523,1505.5
45.4,40.639416,-73.891428,1645.5
52.9,40.639152,-73.910333,1784.9
60.5,40.638888,-73.929237,1923.6
68.1,40.638624,-73.948142,2061.6
75.6,40.638360,-73.967047,2198.7
83.2,40.638096,-73.985952,2334.8
90.8,40.637832,-74.004856,2469.8
98.3,40.637568,-74.023761,2603.6
105.9,40.637304,-74.042666,2736.3
113.4,40.637040,-74.061570,2867.5
121.0,40.636776,-74.080475,2997.3
128.6,40.636512,-74.099380,3125.6
136.1,40.636248,-74.118284,3252.3
143.7,40.635984,-74.137189,3377.2
151.3,40.635720,-74.156094,3500.4
158.8,40.635456,-74.174998,3621.7
166.4,40.635192,-74.193903,3741.0
173.9,40.634928,-74.212808,3858.3
181.5,40.634664,-74.231712,3973.4
189.1,40.634400,-74.250617,4086.3
196.6,40.634136,-74.269522,4196.9
204.2,40.633872,-74.288426,4305.2
211.8,40.633608,-74.307331,4411.0
219.3,40.633344,-74.326236,4514.3
226.9,40.633080,-74.345140,4615.0
234.5,40.632816,-74.364045,4713.1
242.0,40.632552,-74.382950,4808.4
249.6,40.632288,-74.401855,4900.9
257.1,40.632024,-74.420759,4990.6
264.7,40.631760,-74.439664,5077.4
272.3,40.631497,-74.458569,5161.1
279.8,40.631233,-74.477473,5241.9
287.4,40.630969,-74.496378,5319.5
295.0,40.630705,-74.515283,5394.0
302.5,40.630441,-74.534187,5465.3
310.1,40.630177,-74.553092,5533.3
317.6,40.629913,-74.571997,5598.1
325.2,40.629649,-74.590901,5659.5
332.8,40.629385,-74.609806,5717.5
340.3,40.629121,-74.628711,5772.1
347.9,40.628857,-74.647615,5823.2
355.5,40.628593,-74.666520,5870.8
363.0,40.628329,-74.685425,5914.9
370.6,40.628065,-74.704329,5955.4
378.2,40.627801,-74.723234,5992.3
385.7,40.627537,-74.742139,6025.6
393.3,40.627273,-74.761044,6055.3
400.8,40.627009,-74.779948,6081.3
408.4,40.626745,-74.798853,6103.6
416.0,40.626481,-74.817758,6122.2
423.5,40.626217,-74.836662,6137.1
431.1,40.625953,-74.855567,6148.3
438.7,40.625689,-74.874472,6155.8
446.2,40.625425,-74.893376,6159.5
453.8,40.625161,-74.912281,6159.5
461.3,40.624897,-74.931186,6155.8
468.9,40.624633,-74.950090,6148.3
476.5,40.624369,-74.968995,6137.1
484.0,40.624105,-74.987900,6122.2
491.6,40.623841,-75.006804,6103.6
499.2,40.623577,-75.025709,6081.3
506.7,40.623313,-75.044614,6055.3
514.3,40.623049,-75.063518,6025.6
521.8,40.622785,-75.082423,5992.3
529.4,40.622521,-75.101328,5955.4
537.0,40.622257,-75.120233,5914.9
544.5,40.621993,-75.139137,5870.8
552.1,40.621729,-75.158042,5823.2
559.7,40.621465,-75.176947,5772.1
567.2,40.621201,-75.195851,5717.5
574.8,40.620937,-75.214756,5659.5
582.4,40.620673,-75.233661,5598.1
589.9,40.620409,-75.252565,5533.3
597.5,40.620145,-75.271470,5465.3
605.0,40.619881,-75.290375,5394.0
612.6,40.619617,-75.309279,5319.5
620.2,40.619353,-75.328184,5241.9
627.7,40.619089,-75.347089,5161.1
635.3,40.618825,-75.365993,5077.4
642.9,40.618561,-75.384898,4990.6
650.4,40.618297,-75.403803,4900.9
658.0,40.618033,-75.422707,4808.4
665.5,40.617769,-75.441612,4713.1
673.1,40.617505,-75.460517,4615.0
680.7,40.617241,-75.479421,4514.3
688.2,40.616977,-75.498326,4411.0
695.8,40.616713,-75.517231,4305.2
703.4,40.616449,-75.536136,4196.9
710.9,40.616185,-75.555040,4086.3
718.5,40.615921,-75.573945,3973.4
726.1,40.615657,-75.592850,3858.3
733.6,40.615393,-75.611754,3741.0
741.2,40.615129,-75.630659,3621.7
748.7,40.614865,-75.649564,3500.4
756.3,40.614601,-75.668468,3377.2
763.9,40.614337,-75.687373,3252.3
771.4,40.614073,-75.706278,3125.6
779.0,40.613809,-75.725182,2997.3
786.6,40.613545,-75.744087,2867.5
794.1,40.613281,-75.762992,2736.3
801.7,40.613017,-75.781896,2603.6
809.2,40.612754,-75.800801,2469.8
816.8,40.612490,-75.819706,2334.8
824.4,40.612226,-75.838610,2198.7
831.9,40.611962,-75.857515,2061.6
839.5,40.611698,-75.876420,1923.6
847.1,40.611434,-75.895325,1784.9
854.6,40.611170,-75.914229,1645.5
862.2,40.610906,-75.933134,1505.5
869.7,40.610642,-75.952039,1365.0
877.3,40.610378,-75.970943,1224.1
884.9,40.610114,-75.989848,1082.9
892.4,40.609850,-76.008753,941.5
900.0,40.609586,-76.027657,800.0
