time,lat,lon,alt,ve,vn,vu
0.00,30.296638,-96.835179,0.0,-51.98,-925.60,684.47
0.75,30.290364,-96.835587,513.7,-51.98,-925.60,677.07
1.51,30.284090,-96.835995,1021.8,-51.98,-925.60,669.67
2.26,30.277816,-96.836403,1524.3,-51.98,-925.60,662.27
3.02,30.271542,-96.836811,2021.2,-51.98,-925.60,654.87
3.77,30.265268,-96.837219,2512.6,-51.98,-925.60,647.47
4.53,30.258994,-96.837627,2998.3,-51.98,-925.60,640.07
5.28,30.252720,-96.838034,3478.5,-51.98,-925.60,632.67
6.04,30.246446,-96.838442,3953.1,-51.98,-925.60,625.27
6.79,30.240172,-96.838850,4422.1,-51.98,-925.60,617.87
7.55,30.233898,-96.839257,4885.5,-51.98,-925.60,610.47
8.30,30.227624,-96.839665,5343.4,-51.98,-925.60,603.07
9.05,30.221350,-96.840072,5795.6,-51.98,-925.60,595.67
9.81,30.215076,-96.840480,6242.3,-51.98,-925.60,588.27
10.56,30.208802,-96.840887,6683.4,-51.98,-925.60,580.87
11.32,30.202528,-96.841294,7118.9,-51.98,-925.60,573.47
12.07,30.196254,-96.841701,7548.8,-51.98,-925.60,566.07
12.83,30.189980,-96.842109,7973.2,-51.98,-925.60,558.67
13.58,30.183706,-96.842516,8391.9,-51.98,-925.60,551.28
14.34,30.177432,-96.842923,8805.1,-51.98,-925.60,543.88
15.09,30.171158,-96.843330,9212.7,-51.98,-925.60,536.48
15.85,30.164884,-96.843737,9614.7,-51.98,-925.60,529.08
16.60,30.158610,-96.844144,10011.2,-51.98,-925.60,521.68
17.35,30.152336,-96.844551,10402.0,-51.98,-925.60,514.28
18.11,30.146062,-96.844957,10787.3,-51.98,-925.60,506.88
18.86,30.139788,-96.845364,11166.9,-51.98,-925.60,499.48
19.62,30.133514,-96.845771,11541.0,-51.98,-925.60,492.08
20.37,30.127240,-96.846178,11909.5,-51.98,-925.60,484.68
21.13,30.120966,-96.846584,12272.5,-51.98,-925.60,477.28
21.88,30.114692,-96.846991,12629.8,-51.98,-925.60,469.88
22.64,30.108418,-96.847397,12981.6,-51.98,-925.60,462.48
23.39,30.102144,-96.847804,13327.7,-51.98,-925.60,455.08
24.15,30.095870,-96.848210,13668.3,-51.98,-925.60,447.68
24.90,30.089596,-96.848616,14003.3,-51.98,-925.60,440.28
25.65,30.083322,-96.849023,14332.8,-51.98,-925.60,432.88
26.41,30.077048,-96.849429,14656.6,-51.98,-925.60,425.48
27.16,30.070774,-96.849835,14974.9,-51.98,-925.60,418.08
27.92,30.064500,-96.850241,15287.5,-51.98,-925.60,410.68
28.67,30.058226,-96.850647,15594.6,-51.98,-925.60,403.28
29.43,30.051952,-96.851053,15896.1,-51.98,-925.60,395.88
30.18,30.045678,-96.851459,16192.0,-51.98,-925.60,388.48
30.94,30.039404,-96.851865,16482.4,-51.98,-925.60,381.08
31.69,30.033130,-96.852271,16767.1,-51.98,-925.60,373.68
32.45,30.026856,-96.852677,17046.3,-51.98,-925.60,366.28
33.20,30.020582,-96.853083,17319.9,-51.98,-925.60,358.88
33.96,30.014308,-96.853489,17587.9,-51.98,-925.60,351.48
34.71,30.008034,-96.853894,17850.3,-51.98,-925.60,344.08
35.46,30.001760,-96.854300,18107.2,-51.98,-925.60,336.68
36.22,29.995486,-96.854706,18358.4,-51.98,-925.60,329.29
36.97,29.989212,-96.855111,18604.1,-51.98,-925.60,321.89
37.73,29.982938,-96.855517,18844.2,-51.98,-925.60,314.49
38.48,29.976664,-96.855922,19078.7,-51.98,-925.60,307.09
39.24,29.970390,-96.856327,19307.6,-51.98,-925.60,299.69
39.99,29.964116,-96.856733,19531.0,-51.98,-925.60,292.29
40.75,29.957842,-96.857138,19748.7,-51.98,-925.60,284.89
41.50,29.951568,-96.857543,19960.9,-51.98,-925.60,277.49
42.26,29.945294,-96.857948,20167.5,-51.98,-925.60,270.09
43.01,29.939020,-96.858353,20368.5,-51.98,-925.60,262.69
43.76,29.932746,-96.858759,20563.9,-51.98,-925.60,255.29
44.52,29.926472,-96.859164,20753.7,-51.98,-925.60,247.89
45.27,29.920198,-96.859568,20938.0,-51.98,-925.60,240.49
46.03,29.913923,-96.859973,21116.7,-51.98,-925.60,233.09
46.78,29.907649,-96.860378,21289.7,-51.98,-925.60,225.69
47.54,29.901375,-96.860783,21457.3,-51.98,-925.60,218.29
48.29,29.895101,-96.861188,21619.2,-51.98,-925.60,210.89
49.05,29.888827,-96.861593,21775.5,-51.98,-925.60,203.49
49.80,29.882553,-96.861997,21926.3,-51.98,-925.60,196.09
50.56,29.876279,-96.862402,22071.4,-51.98,-925.60,188.69
51.31,29.870005,-96.862806,22211.0,-51.98,-925.60,181.29
52.06,29.863731,-96.863211,22345.0,-51.98,-925.60,173.89
52.82,29.857457,-96.863615,22473.4,-51.98,-925.60,166.49
53.57,29.851183,-96.864020,22596.3,-51.98,-925.60,159.09
54.33,29.844909,-96.864424,22713.5,-51.98,-925.60,151.69
55.08,29.838635,-96.864828,22825.2,-51.98,-925.60,144.29
55.84,29.832361,-96.865233,22931.3,-51.98,-925.60,136.89
56.59,29.826087,-96.865637,23031.8,-51.98,-925.60,129.49
57.35,29.819813,-96.866041,23126.7,-51.98,-925.60,122.09
58.10,29.813539,-96.866445,23216.0,-51.98,-925.60,114.69
58.86,29.807265,-96.866849,23299.8,-51.98,-925.60,107.30
59.61,29.800991,-96.867253,23378.0,-51.98,-925.60,99.90
60.36,29.794717,-96.867657,23450.5,-51.98,-925.60,92.50
61.12,29.788442,-96.868061,23517.6,-51.98,-925.60,85.10
61.87,29.782168,-96.868465,23579.0,-51.98,-925.60,77.70
62.63,29.775894,-96.868869,23634.8,-51.98,-925.60,70.30
63.38,29.769620,-96.869272,23685.1,-51.98,-925.60,62.90
64.14,29.763346,-96.869676,23729.7,-51.98,-925.60,55.50
64.89,29.757072,-96.870080,23768.8,-51.98,-925.60,48.10
65.65,29.750798,-96.870483,23802.3,-51.98,-925.60,40.70
66.40,29.744524,-96.870887,23830.2,-51.98,-925.60,33.30
67.16,29.738250,-96.871290,23852.6,-51.98,-925.60,25.90
67.91,29.731976,-96.871694,23869.3,-51.98,-925.60,18.50
68.66,29.725702,-96.872097,23880.5,-51.98,-925.60,11.10
69.42,29.719428,-96.872501,23886.1,-51.98,-925.60,3.70
70.17,29.713154,-96.872904,23886.1,-51.98,-925.60,-3.70
70.93,29.706880,-96.873307,23880.5,-51.98,-925.60,-11.10
71.68,29.700605,-96.873710,23869.3,-51.98,-925.60,-18.50
72.44,29.694331,-96.874113,23852.6,-51.98,-925.60,-25.90
73.19,29.688057,-96.874517,23830.2,-51.98,-925.60,-33.30
73.95,29.681783,-96.874920,23802.3,-51.98,-925.60,-40.70
74.70,29.675509,-96.875323,23768.8,-51.98,-925.60,-48.10
75.46,29.669235,-96.875726,23729.7,-51.98,-925.60,-55.50
76.21,29.662961,-96.876128,23685.1,-51.98,-925.60,-62.90
76.96,29.656687,-96.876531,23634.8,-51.98,-925.60,-70.30
77.72,29.650413,-96.876934,23579.0,-51.98,-925.60,-77.70
78.47,29.644139,-96.877337,23517.6,-51.98,-925.60,-85.10
79.23,29.637865,-96.877739,23450.5,-51.98,-925.60,-92.50
79.98,29.631590,-96.878142,23378.0,-51.98,-925.60,-99.90
80.74,29.625316,-96.878545,23299.8,-51.98,-925.60,-107.30
81.49,29.619042,-96.878947,23216.0,-51.98,-925.60,-114.69
82.25,29.612768,-96.879350,23126.7,-51.98,-925.60,-122.09
83.00,29.606494,-96.879752,23031.8,-51.98,-925.60,-129.49
83.76,29.600220,-96.880155,22931.3,-51.98,-925.60,-136.89
84.51,29.593946,-96.880557,22825.2,-51.98,-925.60,-144.29
85.26,29.587672,-96.880959,22713.5,-51.98,-925.60,-151.69
86.02,29.581398,-96.881361,22596.3,-51.98,-925.60,-159.09
86.77,29.575124,-96.881764,22473.4,-51.98,-925.60,-166.49
87.53,29.568849,-96.882166,22345.0,-51.98,-925.60,-173.89
88.28,29.562575,-96.882568,22211.0,-51.98,-925.60,-181.29
89.04,29.556301,-96.882970,22071.4,-51.98,-925.60,-188.69
89.79,29.550027,-96.883372,21926.3,-51.98,-925.60,-196.09
90.55,29.543753,-96.883774,21775.5,-51.98,-925.60,-203.49
91.30,29.537479,-96.884176,21619.2,-51.98,-925.60,-210.89
92.06,29.531205,-96.884578,21457.3,-51.98,-925.60,-218.29
92.81,29.524931,-96.884979,21289.7,-51.98,-925.60,-225.69
93.56,29.518657,-96.885381,21116.7,-51.98,-925.60,-233.09
94.32,29.512382,-96.885783,20938.0,-51.98,-925.60,-240.49
95.07,29.506108,-96.886184,20753.7,-51.98,-925.60,-247.89
95.83,29.499834,-96.886586,20563.9,-51.98,-925.60,-255.29
96.58,29.493560,-96.886987,20368.5,-51.98,-925.60,-262.69
97.34,29.487286,-96.887389,20167.5,-51.98,-925.60,-270.09
98.09,29.481012,-96.887790,19960.9,-51.98,-925.60,-277.49
98.85,29.474738,-96.888192,19748.7,-51.98,-925.60,-284.89
99.60,29.468464,-96.888593,19531.0,-51.98,-925.60,-292.29
100.36,29.462189,-96.888994,19307.6,-51.98,-925.60,-299.69
101.11,29.455915,-96.889396,19078.7,-51.98,-925.60,-307.09
101.87,29.449641,-96.889797,18844.2,-51.98,-925.60,-314.49
102.62,29.443367,-96.890198,18604.1,-51.98,-925.60,-321.89
103.37,29.437093,-96.890599,18358.4,-51.98,-925.60,-329.29
104.13,29.430819,-96.891000,18107.2,-51.98,-925.60,-336.68
104.88,29.424545,-96.891401,17850.3,-51.98,-925.60,-344.08
105.64,29.418271,-96.891802,17587.9,-51.98,-925.60,-351.48
106.39,29.411996,-96.892203,17319.9,-51.98,-925.60,-358.88
107.15,29.405722,-96.892604,17046.3,-51.98,-925.60,-366.28
107.90,29.399448,-96.893005,16767.1,-51.98,-925.60,-373.68
108.66,29.393174,-96.893405,16482.4,-51.98,-925.60,-381.08
109.41,29.386900,-96.893806,16192.0,-51.98,-925.60,-388.48
110.17,29.380626,-96.894207,15896.1,-51.98,-925.60,-395.88
110.92,29.374352,-96.894607,15594.6,-51.98,-925.60,-403.28
111.67,29.368077,-96.895008,15287.5,-51.98,-925.60,-410.68
112.43,29.361803,-96.895408,14974.9,-51.98,-925.60,-418.08
113.18,29.355529,-96.895809,14656.6,-51.98,-925.60,-425.48
113.94,29.349255,-96.896209,14332.8,-51.98,-925.60,-432.88
114.69,29.342981,-96.896610,14003.3,-51.98,-925.60,-440.28
115.45,29.336707,-96.897010,13668.3,-51.98,-925.60,-447.68
116.20,29.330433,-96.897410,13327.7,-51.98,-925.60,-455.08
116.96,29.324158,-96.897810,12981.6,-51.98,-925.60,-462.48
117.71,29.317884,-96.898210,12629.8,-51.98,-925.60,-469.88
118.47,29.311610,-96.898611,12272.5,-51.98,-925.60,-477.28
119.22,29.305336,-96.899011,11909.5,-51.98,-925.60,-484.68
119.97,29.299062,-96.899411,11541.0,-51.98,-925.60,-492.08
120.73,29.292788,-96.899811,11166.9,-51.98,-925.60,-499.48
121.48,29.286513,-96.900211,10787.3,-51.98,-925.60,-506.88
122.24,29.280239,-96.900610,10402.0,-51.98,-925.60,-514.28
122.99,29.273965,-96.901010,10011.2,-51.98,-925.60,-521.68
123.75,29.267691,-96.901410,9614.7,-51.98,-925.60,-529.08
124.50,29.261417,-96.901810,9212.7,-51.98,-925.60,-536.48
125.26,29.255143,-96.902209,8805.1,-51.98,-925.60,-543.88
126.01,29.248868,-96.902609,8391.9,-51.98,-925.60,-551.28
126.77,29.242594,-96.903009,7973.2,-51.98,-925.60,-558.67
127.52,29.236320,-96.903408,7548.8,-51.98,-925.60,-566.07
128.27,29.230046,-96.903807,7118.9,-51.98,-925.60,-573.47
129.03,29.223772,-96.904207,6683.4,-51.98,-925.60,-580.87
129.78,29.217498,-96.904606,6242.3,-51.98,-925.60,-588.27
130.54,29.211223,-96.905006,5795.6,-51.98,-925.60,-595.67
131.29,29.204949,-96.905405,5343.4,-51.98,-925.60,-603.07
132.05,29.198675,-96.905804,4885.5,-51.98,-925.60,-610.47
132.80,29.192401,-96.906203,4422.1,-51.98,-925.60,-617.87
133.56,29.186127,-96.906602,3953.1,-51.98,-925.60,-625.27
134.31,29.179853,-96.907001,3478.5,-51.98,-925.60,-632.67
135.07,29.173578,-96.907400,2998.3,-51.98,-925.60,-640.07
135.82,29.167304,-96.907799,2512.6,-51.98,-925.60,-647.47
136.57,29.161030,-96.908198,2021.2,-51.98,-925.60,-654.87
137.33,29.154756,-96.908597,1524.3,-51.98,-925.60,-662.27
138.08,29.148482,-96.908996,1021.8,-51.98,-925.60,-669.67
138.84,29.142207,-96.909395,513.7,-51.98,-925.60,-677.07
139.59,29.135933,-96.909794,0.0,-51.98,-925.60,-684.47
