time,lat,lon,alt,ve,vn,vu
0.00,28.638414,-85.263248,0.0,198.72,-828.12,638.55
0.75,28.632814,-85.261717,477.9,198.72,-828.12,631.17
1.51,28.627214,-85.260186,950.2,198.72,-828.12,623.79
2.26,28.621614,-85.258655,1417.0,198.72,-828.12,616.40
3.01,28.616014,-85.257125,1878.3,198.72,-828.12,609.02
3.76,28.610414,-85.255594,2333.9,198.72,-828.12,601.64
4.52,28.604814,-85.254064,2784.0,198.72,-828.12,594.26
5.27,28.599214,-85.252534,3228.6,198.72,-828.12,586.88
6.02,28.593614,-85.251004,3667.6,198.72,-828.12,579.49
6.77,28.588014,-85.249474,4101.0,198.72,-828.12,572.11
7.53,28.582414,-85.247945,4528.9,198.72,-828.12,564.73
8.28,28.576814,-85.246415,4951.3,198.72,-828.12,557.35
9.03,28.571214,-85.244886,5368.0,198.72,-828.12,549.97
9.79,28.565614,-85.243357,5779.2,198.72,-828.12,542.58
10.54,28.560014,-85.241828,6184.9,198.72,-828.12,535.20
11.29,28.554413,-85.240299,6585.0,198.72,-828.12,527.82
12.04,28.548813,-85.238771,6979.5,198.72,-828.12,520.44
12.80,28.543213,-85.237242,7368.5,198.72,-828.12,513.05
13.55,28.537613,-85.235714,7752.0,198.72,-828.12,505.67
14.30,28.532013,-85.234186,8129.8,198.72,-828.12,498.29
15.06,28.526412,-85.232658,8502.1,198.72,-828.12,490.91
15.81,28.520812,-85.231130,8868.9,198.72,-828.12,483.53
16.56,28.515212,-85.229603,9230.1,198.72,-828.12,476.14
17.31,28.509612,-85.228075,9585.8,198.72,-828.12,468.76
18.07,28.504011,-85.226548,9935.8,198.72,-828.12,461.38
18.82,28.498411,-85.225021,10280.4,198.72,-828.12,454.00
19.57,28.492811,-85.223494,10619.3,198.72,-828.12,446.62
20.32,28.487210,-85.221967,10952.8,198.72,-828.12,439.23
21.08,28.481610,-85.220440,11280.6,198.72,-828.12,431.85
21.83,28.476009,-85.218914,11602.9,198.72,-828.12,424.47
22.58,28.470409,-85.217387,11919.7,198.72,-828.12,417.09
23.34,28.464809,-85.215861,12230.9,198.72,-828.12,409.71
24.09,28.459208,-85.214335,12536.5,198.72,-828.12,402.32
24.84,28.453608,-85.212809,12836.6,198.72,-828.12,394.94
25.59,28.448007,-85.211284,13131.1,198.72,-828.12,387.56
26.35,28.442407,-85.209758,13420.1,198.72,-828.12,380.18
27.10,28.436806,-85.208233,13703.5,198.72,-828.12,372.80
27.85,28.431206,-85.206708,13981.3,198.72,-828.12,365.41
28.60,28.425605,-85.205183,14253.6,198.72,-828.12,358.03
29.36,28.420005,-85.203658,14520.3,198.72,-828.12,350.65
30.11,28.414404,-85.202133,14781.5,198.72,-828.12,343.27
30.86,28.408803,-85.200608,15037.1,198.72,-828.12,335.88
31.62,28.403203,-85.199084,15287.2,198.72,-828.12,328.50
32.37,28.397602,-85.197560,15531.7,198.72,-828.12,321.12
33.12,28.392001,-85.196036,15770.7,198.72,-828.12,313.74
33.87,28.386401,-85.194512,16004.0,198.72,-828.12,306.36
34.63,28.380800,-85.192988,16231.9,198.72,-828.12,298.97
35.38,28.375199,-85.191464,16454.2,198.72,-828.12,291.59
36.13,28.369599,-85.189941,16670.9,198.72,-828.12,284.21
36.89,28.363998,-85.188418,16882.0,198.72,-828.12,276.83
37.64,28.358397,-85.186895,17087.6,198.72,-828.12,269.45
38.39,28.352796,-85.185372,17287.7,198.72,-828.12,262.06
39.14,28.347196,-85.183849,17482.2,198.72,-828.12,254.68
39.90,28.341595,-85.182326,17671.1,198.72,-828.12,247.30
40.65,28.335994,-85.180804,17854.5,198.72,-828.12,239.92
41.40,28.330393,-85.179282,18032.3,198.72,-828.12,232.54
42.15,28.324792,-85.177759,18204.6,198.72,-828.12,225.15
42.91,28.319191,-85.176237,18371.3,198.72,-828.12,217.77
43.66,28.313591,-85.174716,18532.5,198.72,-828.12,210.39
44.41,28.307990,-85.173194,18688.1,198.72,-828.12,203.01
45.17,28.302389,-85.171672,18838.1,198.72,-828.12,195.63
45.92,28.296788,-85.170151,18982.6,198.72,-828.12,188.24
46.67,28.291187,-85.168630,19121.5,198.72,-828.12,180.86
47.42,28.285586,-85.167109,19254.9,198.72,-828.12,173.48
48.18,28.279985,-85.165588,19382.7,198.72,-828.12,166.10
48.93,28.274384,-85.164067,19504.9,198.72,-828.12,158.71
49.68,28.268783,-85.162547,19621.6,198.72,-828.12,151.33
50.44,28.263182,-85.161026,19732.8,198.72,-828.12,143.95
51.19,28.257581,-85.159506,19838.3,198.72,-828.12,136.57
51.94,28.251980,-85.157986,19938.4,198.72,-828.12,129.19
52.69,28.246379,-85.156466,20032.8,198.72,-828.12,121.80
53.45,28.240777,-85.154947,20121.7,198.72,-828.12,114.42
54.20,28.235176,-85.153427,20205.1,198.72,-828.12,107.04
54.95,28.229575,-85.151908,20282.9,198.72,-828.12,99.66
55.70,28.223974,-85.150388,20355.1,198.72,-828.12,92.28
56.46,28.218373,-85.148869,20421.8,198.72,-828.12,84.89
57.21,28.212772,-85.147350,20483.0,198.72,-828.12,77.51
57.96,28.207170,-85.145831,20538.5,198.72,-828.12,70.13
58.72,28.201569,-85.144313,20588.5,198.72,-828.12,62.75
59.47,28.195968,-85.142794,20633.0,198.72,-828.12,55.37
60.22,28.190367,-85.141276,20671.9,198.72,-828.12,47.98
60.97,28.184765,-85.139758,20705.2,198.72,-828.12,40.60
61.73,28.179164,-85.138240,20733.0,198.72,-828.12,33.22
62.48,28.173563,-85.136722,20755.2,198.72,-828.12,25.84
63.23,28.167962,-85.135204,20771.9,198.72,-828.12,18.46
63.98,28.162360,-85.133687,20783.0,198.72,-828.12,11.07
64.74,28.156759,-85.132170,20788.6,198.72,-828.12,3.69
65.49,28.151157,-85.130652,20788.6,198.72,-828.12,-3.69
66.24,28.145556,-85.129135,20783.0,198.72,-828.12,-11.07
67.00,28.139955,-85.127618,20771.9,198.72,-828.12,-18.46
67.75,28.134353,-85.126102,20755.2,198.72,-828.12,-25.84
68.50,28.128752,-85.124585,20733.0,198.72,-828.12,-33.22
69.25,28.123150,-85.123069,20705.2,198.72,-828.12,-40.60
70.01,28.117549,-85.121553,20671.9,198.72,-828.12,-47.98
70.76,28.111947,-85.120036,20633.0,198.72,-828.12,-55.37
71.51,28.106346,-85.118521,20588.5,198.72,-828.12,-62.75
72.27,28.100744,-85.117005,20538.5,198.72,-828.12,-70.13
73.02,28.095143,-85.115489,20483.0,198.72,-828.12,-77.51
