time,lat,lon,alt,ve,vn,vu
0.00,19.064104,-81.723268,0.0,-1693.91,948.87,2373.90
1.16,19.073952,-81.741872,2736.4,-1693.91,948.87,2362.57
2.31,19.083798,-81.760478,5459.7,-1693.91,948.87,2351.24
3.47,19.093643,-81.779086,8170.0,-1693.91,948.87,2339.91
4.62,19.103485,-81.797696,10867.1,-1693.91,948.87,2328.58
5.78,19.113326,-81.816309,13551.2,-1693.91,948.87,2317.24
6.93,19.123165,-81.834924,16222.1,-1693.91,948.87,2305.91
8.09,19.133002,-81.853541,18880.0,-1693.91,948.87,2294.58
9.24,19.142837,-81.872160,21524.8,-1693.91,948.87,2283.25
10.40,19.152670,-81.890781,24156.4,-1693.91,948.87,2271.92
11.55,19.162501,-81.909405,26775.0,-1693.91,948.87,2260.59
12.71,19.172330,-81.928031,29380.5,-1693.91,948.87,2249.26
13.87,19.182158,-81.946659,31972.9,-1693.91,948.87,2237.93
15.02,19.191984,-81.965289,34552.2,-1693.91,948.87,2226.59
16.18,19.201807,-81.983922,37118.4,-1693.91,948.87,2215.26
17.33,19.211629,-82.002556,39671.5,-1693.91,948.87,2203.93
18.49,19.221449,-82.021193,42211.6,-1693.91,948.87,2192.60
19.64,19.231267,-82.039833,44738.5,-1693.91,948.87,2181.27
20.80,19.241083,-82.058474,47252.3,-1693.91,948.87,2169.94
21.95,19.250898,-82.077118,49753.1,-1693.91,948.87,2158.61
23.11,19.260710,-82.095764,52240.7,-1693.91,948.87,2147.28
24.26,19.270521,-82.114412,54715.3,-1693.91,948.87,2135.94
25.42,19.280329,-82.133062,57176.8,-1693.91,948.87,2124.61
26.58,19.290136,-82.151715,59625.1,-1693.91,948.87,2113.28
27.73,19.299941,-82.170370,62060.4,-1693.91,948.87,2101.95
28.89,19.309744,-82.189027,64482.6,-1693.91,948.87,2090.62
30.04,19.319545,-82.207686,66891.7,-1693.91,948.87,2079.29
31.20,19.329344,-82.226348,69287.7,-1693.91,948.87,2067.96
32.35,19.339142,-82.245011,71670.6,-1693.91,948.87,2056.63
33.51,19.348937,-82.263677,74040.4,-1693.91,948.87,2045.29
34.66,19.358730,-82.282346,76397.2,-1693.91,948.87,2033.96
35.82,19.368522,-82.301016,78740.8,-1693.91,948.87,2022.63
36.97,19.378312,-82.319689,81071.3,-1693.91,948.87,2011.30
38.13,19.388099,-82.338364,83388.8,-1693.91,948.87,1999.97
39.29,19.397885,-82.357041,85693.1,-1693.91,948.87,1988.64
40.44,19.407669,-82.375721,87984.4,-1693.91,948.87,1977.31
41.60,19.417451,-82.394402,90262.6,-1693.91,948.87,1965.98
42.75,19.427231,-82.413086,92527.6,-1693.91,948.87,1954.64
43.91,19.437010,-82.431773,94779.6,-1693.91,948.87,1943.31
45.06,19.446786,-82.450461,97018.5,-1693.91,948.87,1931.98
46.22,19.456560,-82.469152,99244.3,-1693.91,948.87,1920.65
47.37,19.466333,-82.487845,101457.0,-1693.91,948.87,1909.32
48.53,19.476103,-82.506540,103656.6,-1693.91,948.87,1897.99
49.69,19.485872,-82.525238,105843.1,-1693.91,948.87,1886.66
50.84,19.495639,-82.543937,108016.6,-1693.91,948.87,1875.32
52.00,19.505404,-82.562640,110176.9,-1693.91,948.87,1863.99
53.15,19.515166,-82.581344,112324.1,-1693.91,948.87,1852.66
