time,lat,lon,alt,ve,vn,vu
0.00,24.575480,-90.098720,0.0,2016.68,1142.82,1779.38
0.87,24.584371,-90.081465,1537.4,2016.68,1142.82,1770.89
1.73,24.593259,-90.064208,3067.5,2016.68,1142.82,1762.40
2.60,24.602146,-90.046949,4590.2,2016.68,1142.82,1753.90
3.46,24.611030,-90.029687,6105.6,2016.68,1142.82,1745.41
4.33,24.619913,-90.012423,7613.6,2016.68,1142.82,1736.92
5.20,24.628793,-89.995157,9114.3,2016.68,1142.82,1728.42
6.06,24.637672,-89.977887,10607.6,2016.68,1142.82,1719.93
6.93,24.646549,-89.960616,12093.5,2016.68,1142.82,1711.44
7.79,24.655423,-89.943342,13572.1,2016.68,1142.82,1702.94
8.66,24.664296,-89.926065,15043.3,2016.68,1142.82,1694.45
9.53,24.673167,-89.908786,16507.2,2016.68,1142.82,1685.96
10.39,24.682036,-89.891505,17963.7,2016.68,1142.82,1677.46
11.26,24.690902,-89.874221,19412.9,2016.68,1142.82,1668.97
12.13,24.699767,-89.856935,20854.7,2016.68,1142.82,1660.48
12.99,24.708630,-89.839646,22289.2,2016.68,1142.82,1651.98
13.86,24.717491,-89.822355,23716.3,2016.68,1142.82,1643.49
14.72,24.726350,-89.805061,25136.0,2016.68,1142.82,1635.00
15.59,24.735206,-89.787765,26548.4,2016.68,1142.82,1626.50
16.46,24.744061,-89.770467,27953.4,2016.68,1142.82,1618.01
17.32,24.752914,-89.753166,29351.1,2016.68,1142.82,1609.52
18.19,24.761765,-89.735862,30741.4,2016.68,1142.82,1601.02
19.05,24.770614,-89.718556,32124.3,2016.68,1142.82,1592.53
19.92,24.779461,-89.701248,33499.9,2016.68,1142.82,1584.03
20.79,24.788306,-89.683937,34868.2,2016.68,1142.82,1575.54
21.65,24.797149,-89.666623,36229.1,2016.68,1142.82,1567.05
22.52,24.805990,-89.649307,37582.6,2016.68,1142.82,1558.55
23.38,24.814829,-89.631989,38928.8,2016.68,1142.82,1550.06
24.25,24.823666,-89.614668,40267.6,2016.68,1142.82,1541.57
25.12,24.832501,-89.597345,41599.1,2016.68,1142.82,1533.07
25.98,24.841333,-89.580019,42923.2,2016.68,1142.82,1524.58
26.85,24.850164,-89.562691,44239.9,2016.68,1142.82,1516.09
27.72,24.858993,-89.545360,45549.3,2016.68,1142.82,1507.59
28.58,24.867820,-89.528027,46851.4,2016.68,1142.82,1499.10
29.45,24.876645,-89.510691,48146.1,2016.68,1142.82,1490.61
30.31,24.885468,-89.493353,49433.4,2016.68,1142.82,1482.11
31.18,24.894289,-89.476013,50713.4,2016.68,1142.82,1473.62
32.05,24.903108,-89.458670,51986.0,2016.68,1142.82,1465.13
32.91,24.911925,-89.441324,53251.2,2016.68,1142.82,1456.63
33.78,24.920740,-89.423976,54509.1,2016.68,1142.82,1448.14
34.64,24.929553,-89.406626,55759.7,2016.68,1142.82,1439.65
35.51,24.938364,-89.389273,57002.9,2016.68,1142.82,1431.15
36.38,24.947173,-89.371917,58238.7,2016.68,1142.82,1422.66
37.24,24.955980,-89.354559,59467.2,2016.68,1142.82,1414.17
38.11,24.964785,-89.337199,60688.3,2016.68,1142.82,1405.67
38.97,24.973588,-89.319836,61902.1,2016.68,1142.82,1397.18
39.84,24.982388,-89.302470,63108.5,2016.68,1142.82,1388.68
40.71,24.991187,-89.285102,64307.5,2016.68,1142.82,1380.19
41.57,24.999984,-89.267732,65499.2,2016.68,1142.82,1371.70
42.44,25.008779,-89.250359,66683.6,2016.68,1142.82,1363.20
43.30,25.017572,-89.232984,67860.6,2016.68,1142.82,1354.71
44.17,25.026363,-89.215606,69030.2,2016.68,1142.82,1346.22
45.04,25.035151,-89.198226,70192.5,2016.68,1142.82,1337.72
45.90,25.043938,-89.180843,71347.4,2016.68,1142.82,1329.23
46.77,25.052723,-89.163458,72494.9,2016.68,1142.82,1320.74
47.64,25.061505,-89.146070,73635.1,2016.68,1142.82,1312.24
48.50,25.070286,-89.128679,74768.0,2016.68,1142.82,1303.75
49.37,25.079065,-89.111287,75893.5,2016.68,1142.82,1295.26
50.23,25.087841,-89.093891,77011.6,2016.68,1142.82,1286.76
51.10,25.096616,-89.076494,78122.4,2016.68,1142.82,1278.27
51.97,25.105389,-89.059093,79225.8,2016.68,1142.82,1269.78
52.83,25.114159,-89.041690,80321.9,2016.68,1142.82,1261.28
53.70,25.122928,-89.024285,81410.6,2016.68,1142.82,1252.79
54.56,25.131694,-89.006877,82492.0,2016.68,1142.82,1244.30
55.43,25.140458,-88.989467,83566.0,2016.68,1142.82,1235.80
56.30,25.149221,-88.972054,84632.6,2016.68,1142.82,1227.31
57.16,25.157981,-88.954639,85691.9,2016.68,1142.82,1218.81
58.03,25.166740,-88.937221,86743.8,2016.68,1142.82,1210.32
58.89,25.175496,-88.919801,87788.4,2016.68,1142.82,1201.83
59.76,25.184250,-88.902378,88825.6,2016.68,1142.82,1193.33
60.63,25.193002,-88.884953,89855.5,2016.68,1142.82,1184.84
61.49,25.201752,-88.867525,90878.0,2016.68,1142.82,1176.35
62.36,25.210501,-88.850095,91893.1,2016.68,1142.82,1167.85
63.22,25.219247,-88.832662,92900.9,2016.68,1142.82,1159.36
64.09,25.227991,-88.815227,93901.4,2016.68,1142.82,1150.87
64.96,25.236733,-88.797789,94894.4,2016.68,1142.82,1142.37
65.82,25.245473,-88.780349,95880.2,2016.68,1142.82,1133.88
66.69,25.254210,-88.762906,96858.5,2016.68,1142.82,1125.39
67.56,25.262946,-88.745461,97829.5,2016.68,1142.82,1116.89
68.42,25.271680,-88.728013,98793.2,2016.68,1142.82,1108.40
69.29,25.280412,-88.710562,99749.5,2016.68,1142.82,1099.91
70.15,25.289142,-88.693110,100698.4,2016.68,1142.82,1091.41
71.02,25.297869,-88.675654,101640.0,2016.68,1142.82,1082.92
71.89,25.306595,-88.658196,102574.3,2016.68,1142.82,1074.43
72.75,25.315318,-88.640736,103501.1,2016.68,1142.82,1065.93
73.62,25.324040,-88.623273,104420.7,2016.68,1142.82,1057.44
74.48,25.332759,-88.605807,105332.8,2016.68,1142.82,1048.95
75.35,25.341476,-88.588340,106237.6,2016.68,1142.82,1040.45
76.22,25.350192,-88.570869,107135.1,2016.68,1142.82,1031.96
