Epoch	Latitude	Longitude	Height
2024-03-02T16:00:00Z	40.0150	-105.2705	1655.2
2024-03-02T16:00:05Z	40.0164	-105.2681	1658.0
2024-03-02T16:00:10Z	40.0181	-105.2654	1662.4
2024-03-02T16:00:15Z	40.0200	-105.2628	1669.1
2024-03-02T16:00:20Z	40.0218	-105.2599	1675.8
2024-03-02T16:00:25Z	40.0233	-105.2568	1681.4
2024-03-02T16:00:30Z	40.0244	-105.2534	1684.9
2024-03-02T16:00:35Z	40.0251	-105.2499	1686.2
2024-03-02T16:00:40Z	40.0254	-105.2463	1685.1
2024-03-02T16:00:45Z	40.0252	-105.2428	1682.0
2024-03-02T16:00:50Z	40.0246	-105.2395	1677.4
2024-03-02T16:00:55Z	40.0235	-105.2366	1671.8
2024-03-02T16:01:00Z	40.0220	-105.2341	1666.2
